"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","Percent","Percentage","242","units","0","v1014027954","1.1.1.1.1","33.6","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","Low 95% confidence interval, percent","Percentage","242","units","0","v1014027955","1.1.1.1.2","30.8","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","High 95% confidence interval, percent","Percentage","242","units","0","v1014027956","1.1.1.1.3","36.6","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","Number of persons","Number","223","units","0","v1014027957","1.1.1.1.4","9750600","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1014027958","1.1.1.1.5","8914700","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1014027959","1.1.1.1.6","10664900","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","Percent","Percentage","242","units","0","v1014027960","1.1.1.2.1","17.7","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","Low 95% confidence interval, percent","Percentage","242","units","0","v1014027961","1.1.1.2.2","13.9","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","High 95% confidence interval, percent","Percentage","242","units","0","v1014027962","1.1.1.2.3","22.2","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","Number of persons","Number","223","units","0","v1014027963","1.1.1.2.4","831600","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1014027964","1.1.1.2.5","659300","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1014027965","1.1.1.2.6","1048900","","","","0"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 11","Percent","Percentage","242","units","0","v1014027966","1.1.1.3.1","19.8","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 11","Low 95% confidence interval, percent","Percentage","242","units","0","v1014027967","1.1.1.3.2","14.9","","","","1"
"2009","Canada","2016A000011124","Overweight","Both sexes","Ages 5 to 11","High 95% confidence interval, percent","Percentage","242","units","0","v1014027968","1.1.1.3.3","25.9","","","","1"
